green_6to8,green_9to16,green_17to19,green_20to5,LocationID
1.666666667,2.5,1.333333333,0.5,1
0,0.25,0,0,2
9,11.125,12.66666667,7.9,3
0,0,0,0,4
0,0.125,0,0,5
0.333333333,1.125,1,0.3,6
1494.333333,2649,4325.666667,2932.9,7
2.666666667,2.75,2,1.1,8
1,2,1.666666667,1.7,9
7.333333333,10.125,13.33333333,10.4,10
2,3.5,4.333333333,2,11
0,0,0,0,12
0,0,0,0,13
51.66666667,69,96.33333333,42.2,14
0,3.125,2,0.3,15
3.666666667,5.125,5.666666667,9.8,16
667.3333333,1026.375,1521,1016.8,17
92.33333333,120.375,149.3333333,69.6,18
1.333333333,3.625,2.333333333,1.5,19
57,96.375,119.3333333,62.9,20
4.666666667,8.25,6.333333333,6.4,21
9.666666667,11.5,18,6.7,22
1,0.75,0,0.9,23
119.3333333,222.75,270.6666667,90.1,24
477.6666667,1362.625,2397.333333,1295.6,25
16.66666667,29.5,38,14.1,26
0.333333333,0,0,0.1,27
42.66666667,69.375,65.66666667,31.8,28
15,32,25.66666667,8,29
0,0.5,0.666666667,0,30
10,24.375,29,16.1,31
19,24.125,23,15.3,32
986,1650.125,2278.333333,769.2,33
38.66666667,69.125,104,23.5,34
83.66666667,91,147.6666667,72.9,35
160.3333333,78.875,132.6666667,493.2,36
173.6666667,208,424.6666667,731.8,37
0.666666667,1.625,3,1.9,38
36,49.875,58.66666667,41.1,39
407.6666667,585,832.3333333,481,40
2277.333333,3466.75,4651,2370,41
2092,2456.5,2876.333333,1503,42
322,678.5,981,211.4,43
0,0.25,0,0,44
0,0,0,0,45
0,0.75,1.333333333,1.1,46
96.33333333,87,95.66666667,57.6,47
0,0,0,0,48
976,1261.875,1682.666667,1058.6,49
0,0.125,0,0,50
7.666666667,14.125,27.33333333,10.2,51
418.6666667,735.75,1002.333333,349,52
10.66666667,15.5,18.33333333,7.6,53
74.66666667,64.25,81,44.1,54
137,122,63,35,55
95,126.75,143.6666667,87.3,56
5.666666667,9.5,6.666666667,9.5,57
1,0.875,1,0.7,58
3.333333333,3,4,1.4,59
48.33333333,45.5,54,27.6,60
894,1085.875,1619.333333,1328.6,61
196.3333333,189.875,245.3333333,200.9,62
18,14.25,28.66666667,16.4,63
0.666666667,0.875,0.333333333,0.5,64
395,1124.625,1970.333333,610.2,65
958,1111.375,2202,584.1,66
2.666666667,3.5,8,4.1,67
0,0,0,0,68
185,268.875,297.3333333,163.6,69
95.66666667,84,92.66666667,64.6,70
41.33333333,70.5,80.66666667,45.4,71
37.66666667,56,79,53,72
4,13.5,9.666666667,3.6,73
2613.333333,3725.875,4994,1812.1,74
2438.333333,4026.625,5247.666667,1345.4,75
60.33333333,117.75,226.3333333,112.3,76
19.66666667,47.125,58.66666667,34.4,77
104.3333333,97.875,109,54.6,78
0,0,0,0,79
205,252.375,595.6666667,1174,80
7.666666667,8.375,8.333333333,5.7,81
779.3333333,2054.75,3947.666667,2396,82
153.3333333,265.625,468.6666667,398.2,83
0,0,0,0,84
92.33333333,107.625,146.6666667,97.8,85
0.666666667,2.625,4,1.5,86
0,0,0,0,87
0,0.125,0,0,88
182,225.125,347.3333333,229.3,89
0,0,0,0,90
28.66666667,42,67.66666667,36.4,91
260,472.875,916,498.4,92
9,18.625,16.66666667,7.9,93
49.33333333,57.375,75.33333333,44.9,94
709,1174.125,2372.333333,1397.6,95
4.333333333,3.875,4.333333333,3.9,96
938.3333333,1815.5,3271.333333,1544.5,97
4,4,3,2,98
0,0.375,0,0.1,99
0,0.125,0,0,100
1,1.375,1.333333333,0.6,101
11,12,23,13.4,102
0,0,0,0,103
0,0,0,0,104
0,0,0,0,105
75.33333333,193.75,430,332.7,106
0,0,0,0,107
4,6.25,6.666666667,5.6,108
0,0,0,0.4,109
0,0,0,0,110
3.666666667,4.375,8,4,111
575.6666667,761.25,1453,1603.2,112
0,0,0,0,113
0,0,0.333333333,0,114
0,2.125,0.666666667,1.5,115
1039,1099,1053.666667,613.9,116
0.333333333,4.375,3.333333333,3.3,117
0,0.875,1,0.7,118
124.6666667,107.75,114.6666667,68.9,119
11.33333333,15.375,7.666666667,9,120
21.66666667,117.75,75.33333333,14.6,121
8,7.625,13.66666667,5.3,122
10.33333333,12.625,16.66666667,7.5,123
4.666666667,6.25,6.333333333,4.4,124
0,0,0,0,125
73,72.75,78,38.9,126
270.6666667,255.125,253.6666667,173.3,127
12.66666667,17.125,12.66666667,5.4,128
1105.666667,1499.125,2359.666667,1920.1,129
375.6666667,561.75,1039.333333,636.3,130
7.333333333,17,15,6.8,131
17.33333333,15.75,17.66666667,7.1,132
35.33333333,34,51.33333333,27.4,133
237,407.5,797,373.7,134
36,37.875,30.33333333,14.3,135
85.33333333,75,85.33333333,48.6,136
0,0,0,0.1,137
13.33333333,17.875,12.33333333,5.4,138
0.333333333,2,1.333333333,1.2,139
0,0,0.333333333,0,140
0,0,0,0,141
0,0.125,0,0,142
0,0,0,0,143
0,0,0,0.1,144
974.6666667,1024.75,1290.333333,752,145
148.3333333,356.75,491.6666667,283.3,146
58,54.125,61.66666667,35.8,147
0,0,0,0.1,148
10.33333333,37,127,31,149
7.333333333,5.125,6,4.2,150
0,0.125,0,0,151
497.6666667,613.125,632.6666667,242.9,152
52,58.875,64.33333333,22.7,153
0.666666667,2.625,8.333333333,1.2,154
6.333333333,13.875,37.66666667,7.6,155
10.66666667,4.25,2,0.5,156
24.33333333,36,55.66666667,40.3,157
0,0,0,0,158
209.3333333,306.875,370.6666667,149.5,159
10,19.5,32,15.5,160
0,0,0,0,161
0,0,0,0,162
0,0,0,0.1,163
0,0,0,0,164
14.33333333,22.375,21.66666667,10.8,165
1367,2783,3910.666667,1027.9,166
144.6666667,120.875,122,61.7,167
194.3333333,251.625,304.3333333,207.5,168
117.6666667,125.25,138.3333333,79.7,169
0,0,0,0,170
6.666666667,8.5,12.66666667,7.5,171
0,0.125,0.333333333,0.2,172
212,306.25,437.3333333,307.3,173
90,153,239,83.6,174
1.666666667,0.875,1.666666667,0.7,175
0.333333333,0.375,0.333333333,0.1,176
125.3333333,122,205.3333333,118.6,177
3,3.5,3.333333333,2.9,178
228,328.5,506,378.1,179
7,14.375,20.33333333,12.7,180
1186.666667,2085.75,3829.333333,2338,181
162,117.375,144.6666667,55,182
24.33333333,18.5,29.33333333,9.4,183
30.66666667,18.75,25,6.2,184
38.33333333,70.5,65.33333333,22.2,185
0.333333333,0.125,0,0.1,186
1,0.75,1,0,187
367.6666667,369.375,495.6666667,302.6,188
255.6666667,362.375,695.3333333,551.3,189
40,82.375,122.6666667,60.5,190
10.66666667,8.875,8.666666667,6.5,191
11.33333333,51.25,45.33333333,9.9,192
88,233.25,258,88.3,193
3.333333333,2.875,3,1.5,194
70,167,257.6666667,94.2,195
141.3333333,527.75,1031.666667,281.6,196
62.33333333,61.75,69.66666667,38,197
26.66666667,30.375,54.66666667,72.6,198
0,0,0,0,199
13.33333333,10.5,6,3.2,200
0.333333333,0.125,0.333333333,0.1,201
21,23.875,29.66666667,14,202
0.666666667,2.625,3.666666667,3.4,203
0,0,0,0,204
4,8.875,16,9.1,205
3.666666667,2.875,2.333333333,0.7,206
4.333333333,40.375,1,0.5,207
19.66666667,28,27,18.4,208
0,0,0,0,209
206.6666667,230.625,462.3333333,128.4,210
0,0,0,0,211
67.66666667,82.75,160.6666667,84.1,212
53.33333333,48.625,58.33333333,26.7,213
0,0.375,0.666666667,0,214
12.66666667,16,20,12.7,215
19.66666667,32.625,50,47.8,216
26.66666667,86.875,116.6666667,104.7,217
4,4.75,4.666666667,4.1,218
0.333333333,5.125,7.333333333,2.5,219
72.66666667,95.875,126.6666667,50.3,220
0.666666667,2.125,1.666666667,0.9,221
3.666666667,5.875,11.33333333,6.3,222
774.3333333,1007.25,1613.666667,1031,223
0,0,0,0,224
384.6666667,465.375,708.6666667,527.2,225
493,883.625,1285,629.2,226
11.66666667,18.125,22.66666667,20.7,227
119.3333333,155.25,249,193.9,228
0,0.125,0,0.2,229
0,0.125,0,0.1,230
0,0,0,0,231
0.333333333,0,0,0,232
0,0.125,0,0,233
0,0,0,0,234
110.3333333,93.25,112.3333333,76.7,235
126.3333333,207,235.3333333,53.2,236
0,0,0,0,237
0,0.125,0,0.1,238
0,0.125,0.333333333,0,239
14.33333333,7.5,6,5.2,240
103,76.875,78.66666667,58.8,241
93.66666667,125.125,172.3333333,68.3,242
530.3333333,481.875,398.6666667,233.6,243
1053,1673.25,1865.666667,770.3,244
1,0,0,0.1,245
0,0.375,0,0,246
266.3333333,390.125,518,263.2,247
72,57.5,69,29.4,248
0,0,0,0,249
44.66666667,72.5,98.66666667,47.7,250
0,0.125,0,0,251
2,6.5,8.666666667,3.1,252
0.333333333,1.625,2,0.5,253
23.33333333,27,36.66666667,17.4,254
664.3333333,1139,3020.333333,4378.3,255
376.6666667,583.375,1113.666667,2194.5,256
73.33333333,65.125,115.3333333,52.4,257
25.33333333,22.125,22,20.6,258
4.666666667,7.125,9,5.6,259
558,969.5,1821.666667,1214.9,260
0,0,0,0,261
1.333333333,1.875,4,0.6,262
45,55.25,57,16.2,263
88,124,125.6666667,88,264
27,42.5,70,31.9,265
