LocationID,yellow_5pm
1,52
2,3
3,1
4,1007
6,2
7,554
8,7
9,4
10,153
11,4
12,150
13,4886
14,24
17,103
18,3
19,4
20,2
21,2
22,3
23,1
24,1779
25,473
26,15
28,29
29,2
32,1
33,459
34,24
35,11
36,41
37,82
39,10
40,235
41,1887
42,833
43,8771
45,1318
47,3
48,13240
49,124
50,5120
51,3
52,206
53,3
54,29
55,2
56,7
59,2
60,6
61,84
62,18
63,13
64,3
65,571
66,148
67,5
68,12549
69,28
70,80
71,13
72,6
73,1
74,1895
75,3973
76,23
77,2
78,3
79,12392
80,187
81,1
82,82
83,65
85,9
87,4561
88,2527
89,58
90,10659
91,5
92,21
93,46
94,2
95,40
97,321
98,2
100,9863
101,2
102,4
105,1
106,99
107,14526
108,6
111,1
112,227
113,10060
114,6859
116,408
117,2
118,1
119,11
120,4
121,3
122,8
123,5
124,6
125,3325
126,5
127,34
128,2
129,200
130,64
131,4
132,16067
133,38
134,20
135,5
136,3
137,7523
138,18052
139,2
140,12226
141,14787
142,19095
143,6756
144,6570
145,581
146,543
147,1
148,4306
149,3
150,5
151,5902
152,624
153,1
154,1
155,3
157,11
158,5615
159,22
160,7
161,22322
162,24042
163,17210
164,13035
165,7
166,3355
167,7
168,161
169,4
170,17763
171,2
173,7
174,3
175,1
177,8
178,22
179,197
180,5
181,429
182,4
184,1
186,18391
188,45
189,87
190,14
191,2
192,4
193,174
194,33
195,28
196,25
197,29
198,15
199,3
200,3
201,2
202,40
203,2
205,1
207,5
208,1
209,984
210,3
211,5338
212,4
213,8
215,53
216,58
217,31
218,6
219,61
220,12
222,1
223,236
224,1530
225,36
226,685
227,7
228,37
229,10492
230,18941
231,10429
232,675
233,9124
234,21678
235,7
236,26874
237,28377
238,13083
239,18589
241,2
242,4
243,71
244,329
246,9007
247,93
249,8801
250,14
252,3
253,2
255,448
256,381
257,19
258,7
259,5
260,212
261,2814
262,8216
263,10876
264,8878
265,259
